symbol,value
„,0
Ÿ,1
‚,2
‘,3
•,4
š,5
˜,6
„,7
„,8
‚,9
ˆ,10
…,11
‰,12
Œ,13
–,14
ƒ,15
ƒ,16
Œ,17
—,18
€,19
Ž,20
†,21
†,22
‹,23
Š,24
›,25
˜,26
„,27
—,28
š,29
Ÿ,30
€,31
…,32
ˆ,33
ž,34
”,35
“,36
„,37
‡,38
–,39
Ž,40
‚,41
œ,42
Ž,43
’,44
š,45
€,46
„,47
•,48
ž,49
Š,50
›,51
š,52
š,53
“,54
Œ,55
—,56
ƒ,57
…,58
™,59
‘,60
”,61
‰,62
…,63
ž,64
š,65
’,66
‘,67
•,68
Ÿ,69
”,70
…,71
Ž,72
ˆ,73
‘,74
‘,75
™,76
‹,77
œ,78
œ,79
†,80
Œ,81
Ž,82
“,83
—,84
’,85
”,86
†,87
Š,88
—,89
Ž,90
„,91
ˆ,92
ˆ,93
›,94
ž,95
‡,96
‚,97
—,98
”,99
—,100
™,101
ž,102
ƒ,103
”,104
›,105
ˆ,106
’,107
Œ,108
–,109
Œ,110
š,111
‰,112
œ,113
•,114
™,115
—,116
ˆ,117
œ,118
–,119
ž,120
ƒ,121
‹,122
‹,123
ƒ,124
†,125
‘,126
ž,127
”,128
“,129
ƒ,130
„,131
‚,132
Ž,133
†,134
Œ,135
„,136
•,137
ƒ,138
›,139
Œ,140
‹,141
…,142
š,143
›,144
›,145
“,146
Ÿ,147
‚,148
—,149
Ÿ,150
…,151
™,152
‰,153
‹,154
ƒ,155
š,156
”,157
•,158
€,159
ˆ,160
”,161
˜,162
•,163
Œ,164
—,165
‹,166
‚,167
ˆ,168
‡,169
“,170
ˆ,171
–,172
‰,173
‹,174
™,175
š,176
‡,177
Ÿ,178
…,179
‡,180
Œ,181
‘,182
†,183
€,184
‡,185
Ÿ,186
Ž,187
„,188
”,189
Œ,190
Œ,191
™,192
™,193
•,194
Ž,195
‰,196
‘,197
€,198
’,199
„,200
‰,201
ˆ,202
œ,203
”,204
–,205
ž,206
†,207
€,208
ž,209
ˆ,210
—,211
‡,212
‚,213
„,214
ž,215
‡,216
—,217
ƒ,218
Š,219
ˆ,220
ˆ,221
„,222
’,223
‘,224
š,225
‡,226
’,227
‡,228
—,229
‰,230
•,231
Ÿ,232
‘,233
‰,234
Š,235
‘,236
„,237
ž,238
…,239
—,240
ž,241
ž,242
”,243
’,244
ž,245
Ÿ,246
€,247
’,248
ˆ,249
—,250
‘,251
Ž,252
‹,253
–,254
Œ,255
˜,256
’,257
‹,258
‘,259
ƒ,260
‘,261
Ÿ,262
‡,263
ˆ,264
›,265
ƒ,266
“,267
Œ,268
Œ,269
™,270
ž,271
‚,272
‚,273
œ,274
•,275
†,276
ž,277
’,278
˜,279
ž,280
—,281
Ÿ,282
„,283
“,284
ƒ,285
œ,286
ˆ,287
–,288
™,289
—,290
‰,291
‡,292
‰,293
•,294
‡,295
€,296
™,297
›,298
†,299
†,300
˜,301
‚,302
†,303
Ÿ,304
„,305
‘,306
ˆ,307
’,308
š,309
˜,310
–,311
‘,312
ž,313
ƒ,314
ƒ,315
›,316
”,317
Œ,318
„,319
Ÿ,320
‚,321
ƒ,322
‚,323
›,324
‹,325
’,326
™,327
›,328
Ÿ,329
ž,330
‡,331
”,332
ž,333
Ÿ,334
ˆ,335
Ÿ,336
–,337
Š,338
Œ,339
“,340
“,341
•,342
Ÿ,343
ƒ,344
ž,345
–,346
‰,347
ƒ,348
˜,349
’,350
š,351
—,352
™,353
‡,354
Š,355
’,356
”,357
‚,358
‰,359
‡,360
„,361
€,362
˜,363
Œ,364
‘,365
„,366
ž,367
ž,368
Ÿ,369
‚,370
‹,371
‚,372
•,373
Ÿ,374
€,375
Ÿ,376
’,377
‡,378
†,379
„,380
ˆ,381
ˆ,382
‰,383
‰,384
ƒ,385
”,386
ž,387
–,388
œ,389
„,390
Š,391
“,392
“,393
’,394
†,395
‹,396
‚,397
›,398
•,399
…,400
’,401
’,402
Ÿ,403
›,404
Ÿ,405
Š,406
‚,407
œ,408
Ÿ,409
”,410
•,411
–,412
Ÿ,413
œ,414
‚,415
“,416
†,417
ˆ,418
Š,419
Š,420
—,421
›,422
˜,423
‰,424
œ,425
…,426
š,427
œ,428
ž,429
ƒ,430
™,431
†,432
Ž,433
…,434
›,435
”,436
—,437
‡,438
‘,439
–,440
—,441
–,442
Š,443
…,444
Ÿ,445
‰,446
›,447
“,448
…,449
›,450
‡,451
‚,452
“,453
š,454
‡,455
‰,456
ˆ,457
˜,458
‚,459
†,460
Œ,461
‰,462
˜,463
‰,464
˜,465
˜,466
‹,467
€,468
‰,469
‘,470
›,471
˜,472
‹,473
‡,474
„,475
€,476
–,477
Š,478
‚,479
ƒ,480
Ÿ,481
‡,482
ˆ,483
„,484
„,485
ˆ,486
„,487
›,488
Ž,489
™,490
†,491
›,492
…,493
˜,494
…,495
ž,496
š,497
ž,498
†,499
